Event ID,Title,Date,Start,End,Location,Description,Source,Last Synced,,Push
d3o8j1nbrscfbhh742l0iqu9u4@google.com,TKT Sound,1/10/2026 0:00:00,4:00 PM,1/10/2026 17:00:00,Main Stage,Sound Check | The Frontmen,Calls,1/2/2026 19:45:02,Synced,FALSE
llrdaipvgdrk4go2vc5a93vtks@google.com,The Frontmen,1/10/2026 19:30:00,7:15 PM,1/10/2026 21:45:00,Main Stage,Show Time | The Frontmen,Calls,1/2/2026 19:45:03,Synced,FALSE
b68m59db0vguppg2ku72ivtnm8@google.com,Load Out | The Frontmen,1/10/2026 21:50:00,9:50 PM,1/10/2026 22:50:00,Main Stage,Load Out | The Frontmen,Calls,1/6/2026 11:40:00,Synced,FALSE
4v16j76uboa4kn0atlou71iamc@google.com,Frontmen Strike,1/11/2026 0:00:00,12:00 AM,1/11/2026 1:00:00,Main Stage,Strike | The Frontmen,Calls,1/2/2026 19:45:05,Synced,FALSE
6qev0vq4qq9beqd1lq6ov584u4@google.com,Forum Build Begins,1/11/2026 0:00:00,12:00 AM,1/11/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:06,Synced,FALSE
knt9nveai0cdd44v4l8dudktng@google.com,Forum Build,1/12/2026 0:00:00,12:00 AM,1/12/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:07,Synced,FALSE
n63la1man41r8h4q6sp8kjb9j8@google.com,Emerging Artists,1/12/2026 0:00:00,12:00 AM,1/13/2026 0:00:00,Theatre 166,,Sheet 8,1/2/2026 19:45:08,Synced,FALSE
pc6ev3ghfh73dp7upue5mmb2t8@google.com,Pioneer Tech Class,1/12/2026 12:00:00,12:00 PM,1/12/2026 13:00:00,,Classroom | Pioneer,Calls,1/3/2026 13:04:36,Synced,FALSE
5d5f8sofkfudg3nuj6jpge4b88@google.com,RYOT Rehearsal,1/12/2026 16:00:00,4:00 PM,1/12/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:45:10,Synced,FALSE
biqfvmgm99jkuoui039ajb2260@google.com,Forum Build,1/13/2026 0:00:00,12:00 AM,1/13/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:11,Synced,FALSE
tb0atq5bro4gevrs46v0rgjp04@google.com,Pit Cleanup Day,1/13/2026 0:00:00,11:30 AM,1/13/2026 15:30:00,Main Stage,Setup / Prep | A Funny Thing Happened on the Way to the Forum,Calls,1/3/2026 13:04:38,Synced,FALSE
9450jnf74dgv83c7pnge9m7mbk@google.com,RYOT Rehearsal,1/13/2026 16:00:00,4:00 PM,1/13/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:45:12,Synced,FALSE
gdgeqp24f8qcuudvofobr77860@google.com,Forum Build,1/14/2026 0:00:00,12:00 AM,1/14/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:13,Synced,FALSE
39989o3ihqffrlqrgmsmrubf0o@google.com,Teddy Test,1/14/2026 0:00:00,1:00 PM,1/14/2026 14:00:00,Theatre 166,"Load In | Teddy Bear Concert:
Jack and The Beanstalk",Calls,1/2/2026 19:45:14,Synced,FALSE
q378ncp5po89259b3s5mb8p5co@google.com,Encore League Meeting,1/14/2026 16:30:00,4:30 PM,1/14/2026 17:30:00,Conference Room,"Topic: Renaissance Performing Arts's Personal Meeting Room<br><br>Join Zoom Meeting<br><a href=""https://us02web.zoom.us/j/2168398734?pwd=eWJ5Q3d6SCtOdEZDMU90ZVRXY21JZz09"">https://us02web.zoom.us/j/2168398734?pwd=eWJ5Q3d6SCtOdEZDMU90ZVRXY21JZz09</a><br><br>Meeting ID: 216 839 8734<br>Passcode: 782832<br><br>---<br><br>One tap mobile<br>+13017158592,,2168398734#,,,,*782832# US (Washington DC)<br>+13052241968,,2168398734#,,,,*782832# US<br><br>Find your local number: <a href=""https://us02web.zoom.us/u/kSm649sg0"">https://us02web.zoom.us/u/kSm649sg0</a>",Sheet 8,1/2/2026 19:45:15,Synced,FALSE
543cllh5707sejtthc68shk20c@google.com,Emerging Artists (TBD),1/14/2026 19:30:00,7:30 PM,1/14/2026 22:00:00,Theatre 166,,Sheet 8,1/2/2026 19:45:16,Synced,FALSE
ap70ofjq5a7a6q62g73rarobgs@google.com,Forum Build,1/15/2026 0:00:00,12:00 AM,1/15/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:17,Synced,FALSE
g0vuvp4f599sj0le5sru0ef0ek@google.com,RYOT Rehearsal,1/15/2026 16:00:00,4:00 PM,1/15/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:45:18,Synced,FALSE
5ug2fbqfghidlkhnsbf88d8mfs@google.com,Forum Build,1/16/2026 0:00:00,12:00 AM,1/16/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:19,Synced,FALSE
vpcqofhegf8403t7imbf2mcko8@google.com,Building Walkthrough,1/16/2026 12:15:00,12:15 PM,1/16/2026 13:00:00,Theatre 166,,Sheet 8,1/2/2026 19:45:20,Synced,FALSE
ih8lcrtuus1fnctudr6v2mscag@google.com,Building Walkthrough,1/16/2026 12:15:00,12:15 PM,1/16/2026 13:00:00,Main Stage,,Sheet 8,1/2/2026 19:45:21,Synced,FALSE
rfi6et8oq27unod24enj65kl08@google.com,RYOT Rehearsal,1/16/2026 16:00:00,4:00 PM,1/16/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:45:22,Synced,FALSE
2vv5sfvi97l0mvcfm2nki0qaog@google.com,"Emerging Artists:
FLOWERS ON THE MOON",1/16/2026 19:30:00,7:30 PM,1/16/2026 20:30:00,Theatre 166,"Show Time | Emerging Artists:
FLOWERS ON THE MOON",Calls,1/2/2026 19:45:23,Synced,FALSE
htiq4g144cefvajpej85qi4reo@google.com,Emerging Artists (TBD),1/16/2026 19:30:00,7:30 PM,1/16/2026 22:00:00,Theatre 166,,Sheet 8,1/2/2026 19:45:24,Synced,FALSE
3cqrj32u93amog4gel06b3vqfo@google.com,Forum Build,1/17/2026 0:00:00,12:00 AM,1/17/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:26,Synced,FALSE
2o425dialik7qpjkm9h0aacous@google.com,Forum Build,1/18/2026 0:00:00,12:00 AM,1/18/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:27,Synced,FALSE
qvunqpaqb7t1taheuc3d6ipgcc@google.com,Forum Build,1/19/2026 0:00:00,12:00 AM,1/19/2026 1:00:00,Theatre 166,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:28,Synced,FALSE
4ta16ikns05uahdctvatorvans@google.com,Martin Luther King Jr. Day,1/19/2026 0:00:00,12:00 AM,1/20/2026 0:00:00,Holidays,Public holiday,Sheet 8,1/2/2026 19:45:29,Synced,FALSE
7rtu0ouu4ifeit2co2tcr5tu80@google.com,Forum Build,1/20/2026 0:00:00,12:00 AM,1/20/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Sheet 8,1/2/2026 19:45:29,Synced,FALSE
gcvsarnqaudo5c1kfjh81cin5o@google.com,Forum Build,1/21/2026 0:00:00,12:00 AM,1/21/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:30,Synced,FALSE
i5enlq5hooo62o6m9q9nd7qv5c@google.com,Emerging Artists: SCOUTS,1/21/2026 19:30:00,7:30 PM,1/21/2026 20:30:00,Theatre 166,Show Time | Emerging Artists: SCOUTS,Calls,1/2/2026 19:45:31,Synced,FALSE
qmuesiiljlqsinp44u9agt1obc@google.com,Forum Build,1/22/2026 0:00:00,12:00 AM,1/22/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:32,Synced,FALSE
t60nmtmsvrrae3rurn81ngonn0@google.com,RYOT Rehearsal,1/22/2026 16:00:00,4:00 PM,1/22/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:45:33,Synced,FALSE
9qq1hh4scavdfqnifm093o4bkg@google.com,Forum Build,1/23/2026 0:00:00,12:00 AM,1/23/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:34,Synced,FALSE
i2tf947inurmp5p4m7089rhts0@google.com,Forum Build,1/24/2026 0:00:00,12:00 AM,1/24/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:35,Synced,FALSE
4kud5mhj3tuol9ba6nh0ltr6jo@google.com,Forum Build,1/25/2026 0:00:00,12:00 AM,1/25/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:36,Synced,FALSE
f4su5pq3au9hb2fdlfouh0cdqc@google.com,Forum Build,1/26/2026 0:00:00,12:00 AM,1/26/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Sheet 8,1/2/2026 19:45:36,Synced,FALSE
hpgr0hrecqrdh24if5g04lnmj0@google.com,Pioneer Tech Class,1/26/2026 12:00:00,12:00 PM,1/26/2026 13:00:00,,Classroom | Pioneer,Calls,1/3/2026 13:04:47,Synced,FALSE
pe53uol5ifu7m7q801sfvgv70c@google.com,Forum Build,1/27/2026 0:00:00,12:00 AM,1/27/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:38,Synced,FALSE
1cgn3fsm8b722bemflftm2kpr0@google.com,Forum Build,1/28/2026 0:00:00,12:00 AM,1/28/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:39,Synced,FALSE
316vimhesnmkuqccpifmi15p5g@google.com,Destination Mansfield Board Meeting,1/28/2026 8:30:00,8:30 AM,1/28/2026 10:30:00,Ballroom,"Average 20 people
10:30-11:30 Executive Committee
11:30-12:30 Board meeting",Sheet 8,1/2/2026 19:45:40,Synced,FALSE
gbbecbbognps4f7m02pul1jqs8@google.com,Forum Build,1/29/2026 0:00:00,12:00 AM,1/29/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:41,Synced,FALSE
klh4ljdghdgb3uas6p8qp58r2c@google.com,Forum Build,1/30/2026 0:00:00,12:00 AM,1/30/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:42,Synced,FALSE
kp97kd8jqfuepsqo997rbrbpno@google.com,Emerging Artists: THREE SEPTEMBERS,1/30/2026 19:30:00,7:30 PM,1/30/2026 22:00:00,Theatre 166,Show Time | Emerging Artists: THREE SEPTEMBERS,Calls,1/2/2026 19:45:43,Synced,FALSE
4htlu6vjj9imn2ak1jdan3frck@google.com,Forum Build,1/31/2026 0:00:00,12:00 AM,1/31/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:44,Synced,FALSE
sqj0o3g9gg8cr9cddllbj7br7g@google.com,Forum Build,2/1/2026 0:00:00,12:00 AM,2/1/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:44,Synced,FALSE
etcutsgkitnr9im0d1mp8uu9ds@google.com,Forum Build,2/2/2026 0:00:00,12:00 AM,2/2/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:45,Synced,FALSE
1mbq0rg3e80s06kfp4ef59fukg@google.com,Pioneer Tech Class,2/2/2026 12:00:00,12:00 PM,2/2/2026 13:30:00,Main Stage,Classroom | Pioneer,Calls,1/2/2026 19:45:46,Synced,FALSE
kaav7fddq3gl6ivhqv223n1av0@google.com,RYOT Tech,2/3/2026 16:00:00,4:00 PM,2/3/2026 19:00:00,Theatre 166,,Sheet 8,1/2/2026 19:45:47,Synced,FALSE
9iooe3ek381lt003980frtp038@google.com,Forum Build,2/4/2026 0:00:00,12:00 AM,2/4/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:49,Synced,FALSE
ekj0q69tbej9jo0dg53rc6api0@google.com,Forum Build,2/5/2026 0:00:00,12:00 AM,2/5/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:50,Synced,FALSE
0gncbmusjm61n21guvq8mb0o8c@google.com,Forum Build,2/6/2026 0:00:00,12:00 AM,2/6/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:51,Synced,FALSE
qq9a0libu8g6m876pmmvptj1ec@google.com,Building Walkthrough,2/5/2026 12:15:00,12:15 PM,2/5/2026 13:00:00,Theatre 166,,Sheet 8,1/3/2026 13:04:52,Synced,FALSE
4rr7dg7kgg1pvmrsptuvl11d60@google.com,RYOT: Showcase (Performance),2/6/2026 19:00:00,7:00 PM,2/6/2026 20:00:00,Theatre 166,Show Time | RYOT: Showcase (Performance),Calls,1/2/2026 19:45:52,Synced,FALSE
b0jd4d7u1coo776sd9d3puijns@google.com,Forum Build,2/7/2026 0:00:00,12:00 AM,2/7/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:53,Synced,FALSE
74vkuit25usn1lemdjqbnngroo@google.com,Forum Build,2/8/2026 0:00:00,12:00 AM,2/8/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Sheet 8,1/2/2026 19:45:54,Synced,FALSE
6g9nh3njf89311ffva959tqhok@google.com,Forum Build,2/9/2026 0:00:00,12:00 AM,2/9/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:55,Synced,FALSE
dqe76dd6f5e7ukj38vb6mgvn1o@google.com,Pioneer Tech Class,2/9/2026 12:00:00,12:00 PM,2/9/2026 13:30:00,Main Stage,Classroom | Pioneer,Calls,1/2/2026 19:45:57,Synced,FALSE
66m80eprgcr08lo9uem9hvrhsc@google.com,Forum Build,2/10/2026 0:00:00,12:00 AM,2/10/2026 1:00:00,Main Stage,Construction | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:45:58,Synced,FALSE
njm21sbrqttgo5arab20sgedis@google.com,"Teddy Bear Concert:
Jack and The Beanstalk",2/15/2026 14:30:00,2:30 PM,2/15/2026 15:30:00,Theatre 166,,Sheet 8,1/2/2026 19:45:59,Synced,FALSE
nhfnrm7cbjemm38u0lu2g5va14@google.com,Presidents' Day,2/16/2026 0:00:00,12:00 AM,2/17/2026 0:00:00,Holidays,Public holiday,Sheet 8,1/2/2026 19:46:00,Synced,FALSE
j9eous4fb0ov9cjd0fvuq84i7s@google.com,Pioneer Tech Class,2/16/2026 12:00:00,12:00 PM,2/16/2026 13:30:00,Main Stage,Classroom | Pioneer,Sheet 8,1/2/2026 19:46:01,Synced,FALSE
20fkhh49r4j9euu2c3djt7otv0@google.com,Forum Tech,2/16/2026 18:00:00,6:00 PM,2/16/2026 22:00:00,,,Calendar,1/3/2026 13:04:56,Synced,FALSE
a0a2kpf5m6ltnuu3as1q6ha6nc@google.com,Improv Underground: Workshop/Classes,2/18/2026 16:00:00,4:00 PM,2/18/2026 17:00:00,Theatre 166,Show Time | Improv Underground: Workshop/Classes,Calls,1/2/2026 19:46:03,Synced,FALSE
in0n90d5i82sbl66g6p2dkks4g@google.com,Building Walkthrough,2/18/2026 12:15:00,12:15 PM,2/18/2026 13:00:00,Theatre 166,,Lineup,1/3/2026 13:04:57,Synced,FALSE
8g0vh10o7sqntvav5gg3pjkvv0@google.com,A Funny Thing Happened on the Way to the Forum,2/22/2026 14:30:00,2:30 PM,2/22/2026 17:00:00,Main Stage,,Sheet 8,1/3/2026 13:04:57,Synced,FALSE
vd0uvu46qd59ls1mn268iji6o8@google.com,Pioneer Tech Class,2/23/2026 12:00:00,12:00 PM,2/23/2026 13:30:00,Main Stage,Classroom | Pioneer,Calls,1/3/2026 13:04:58,Synced,FALSE
0s1u4ql6aone7d8afteus64u58@google.com,Building Walkthrough,2/27/2026 12:15:00,12:15 PM,2/27/2026 13:00:00,Theatre 166,,Sheet 8,1/2/2026 19:46:06,Synced,FALSE
pp1oo7r54ccpft51u17084mkl0@google.com,Pioneer Tech Class,3/2/2026 12:00:00,12:00 PM,3/2/2026 13:30:00,Main Stage,Classroom | Pioneer,Calls,1/3/2026 13:04:59,Synced,FALSE
1v4808lnfajnvk316u8lasvic4@google.com,CTF-Cat Kid Comic Club,3/3/2026 12:30:00,12:30 PM,3/3/2026 14:30:00,Main Stage,,Lineup,1/3/2026 13:05:00,Synced,FALSE
e7fa9mvla7utjgq2rin4af38vs@google.com,Celtic Angels Ireland,3/7/2026 19:30:00,7:30 PM,3/7/2026 22:00:00,Main Stage,,Lineup,1/3/2026 13:05:01,Synced,FALSE
4gnvib4gqivmfckb2iif4b6tug@google.com,"Mansfield Symphony: Side×Side
—A Night at the Oscars",3/14/2026 19:30:00,7:30 PM,3/14/2026 22:00:00,Main Stage,,Lineup,1/3/2026 13:05:02,Synced,FALSE
s353nu8iqq50jrk794cak4ovoc@google.com,Special Concert TBD,3/21/2026 19:30:00,7:30 PM,3/21/2026 20:30:00,Main Stage,,Lineup,1/2/2026 19:46:13,Synced,FALSE
sltglqk47612sjcfbqj5o1h6q8@google.com,"Mansfield Youth Theatre: Shrek, Jr.",3/27/2026 19:00:00,7:00 PM,3/27/2026 22:00:00,Main Stage,,Lineup,1/3/2026 13:05:03,Synced,FALSE
fi2ps9sujdb1cjotv60eqmnq0c@google.com,"Mansfield Youth Theatre: Shrek, Jr.",3/28/2026 13:00:00,1:00 PM,3/28/2026 16:00:00,Main Stage,,Lineup,1/3/2026 13:05:04,Synced,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
