Event Name,Rehearsal/Setup Date,Call Time,Type,Description,Staff,Series,Venue,Event ID,
The Frontmen,1/10/2026,2:30 PM,Sound Check,Frontmen Sound,Seth,,,uvfslksqpvbq7j7jfhs002ivng@google.com,
The Frontmen,1/10/2026,4:00 PM,Sound Check,TKT Sound,Seth,,,uvfslksqpvbq7j7jfhs002ivng@google.com,
The Frontmen,1/10/2026,7:15 PM,Show Time,The Frontmen,"Seth, Jason, Noah, Ryan, Nik",Concert,Main Stage,uvfslksqpvbq7j7jfhs002ivng@google.com,
The Frontmen,1/10/2026,9:50 PM,Load Out,,"Seth, Nik, Jason, Noah, Ryan",,,uvfslksqpvbq7j7jfhs002ivng@google.com,
The Frontmen,1/11/2026,,Strike,Frontmen Strike,,,,uvfslksqpvbq7j7jfhs002ivng@google.com,
A Funny Thing Happened on the Way to the Forum,1/11/2026,,Construction,Forum Build Begins,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/12/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/13/2026,11:30 AM,Setup / Prep,Pit Cleanup Day,"Seth, Nik, Jason, Ethan, Noah",,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/13/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/14/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/15/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/16/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
"Emerging Artists:
FLOWERS ON THE MOON",1/16/2026,7:30 PM,Show Time,"Emerging Artists:
FLOWERS ON THE MOON",Nik,Innovation,Theatre 166,rfi6et8oq27unod24enj65kl08@google.com,
A Funny Thing Happened on the Way to the Forum,1/17/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/18/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/19/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/20/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/21/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
Emerging Artists: SCOUTS,1/21/2026,7:30 PM,Show Time,Emerging Artists: SCOUTS,Nik,Innovation,Theatre 166,70ufbpn89t1knpkqe85j3318a8@google.com,
A Funny Thing Happened on the Way to the Forum,1/22/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/23/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/24/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/25/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/26/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/27/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/28/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/29/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,1/30/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
Emerging Artists: THREE SEPTEMBERS,1/30/2026,7:30 PM,Show Time,Emerging Artists: THREE SEPTEMBERS,Nik,Innovation,Theatre 166,kp97kd8jqfuepsqo997rbrbpno@google.com,
A Funny Thing Happened on the Way to the Forum,1/31/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,2/1/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,2/2/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,2/3/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,2/4/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,2/5/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,2/6/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
RYOT: Showcase (Performance),2/6/2026,7:00 PM,Show Time,RYOT: Showcase (Performance),Seth,Education,Theatre 166,4rr7dg7kgg1pvmrsptuvl11d60@google.com,
A Funny Thing Happened on the Way to the Forum,2/7/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
RYOT: Showcase (Performance),2/7/2026,7:00 PM,Show Time,RYOT: Showcase (Performance),Seth,Education,Theatre 166,j7u3kl17hi37jnhnh9ok8ud3i8@google.com,
A Funny Thing Happened on the Way to the Forum,2/8/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,2/9/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
A Funny Thing Happened on the Way to the Forum,2/10/2026,,Construction,Forum Build,,,,6qev0vq4qq9beqd1lq6ov584u4@google.com,
"Teddy Bear Concert:
Jack and The Beanstalk",2/15/2026,2:30 PM,Show Time,"Teddy Bear Concert:
Jack and The Beanstalk",Seth,Education,Theatre 166,njm21sbrqttgo5arab20sgedis@google.com,
Improv Underground: Workshop/Classes,2/18/2026,4:00 PM,Show Time,Improv Underground: Workshop/Classes,Seth,Education,Theatre 166,o96nu3hhufnekk7ab9jg905khs@google.com,
,,,,,,,,,
"Teddy Bear Concert:
Jack and The Beanstalk",1/14/2026,1:00 PM,Load In,Teddy Test,Seth,,,oe47ppenrt5haub6q5qnc0r5uc@google.com,
,,,,,,,,,
Pioneer Tech Class,1/5/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
Pioneer Tech Class,1/12/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
Pioneer Tech Class,1/19/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
Pioneer Tech Class,1/26/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
Pioneer Tech Class,2/2/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
Pioneer Tech Class,2/9/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
Pioneer Tech Class,2/16/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
Pioneer Tech Class,2/23/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
Pioneer Tech Class,3/2/2026,12:00 PM,Classroom,Pioneer Tech Class,Seth,,,6hnoasrapt94cr8dd6omthl2oc@google.com,
,,,,,,,,,
A Funny Thing Happened on the Way to the Forum,2/10/2026,6:00 PM,Tech Week,,,,,nfv81lct5e7g8ogcu62c9m9m6c@google.com,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Buttons,Press to recall row info from lineup,,,,,,
,,,Press to pull the next (15 days)? from lineup (to then be able to edit),,,,,,
